name,mass,mass_error_min,mass_error_max,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
KELT-23 Ab,0.937,0.04,0.04,0.0,0.0,1.29,0.02
KELT-2 Ab,1.486,0.088,0.088,0.0,0.0,1.306,0.067
KELT-3 Ab,1.47,0.07,0.07,0.0,0.0,1.35,0.07
KELT-4 Ab,0.9,0.06,0.06,0.067,0.07,1.7,0.05
KELT-6 b,0.44,0.02,0.02,0.0,0.0,1.13,0.1
KELT-6 c,3.71,0.21,0.21,0.21,0.21,0.67535,0.0
KELT-7 b,1.24,0.18,0.18,0.0,0.0,1.293,0.06
KELT-8 b,0.874,0.067,0.068,0.065,0.065,1.86,0.18
KELT-9 Ab,2.88,0.35,0.35,0.0,0.0,1.936,0.047
Kepler-100 b,0.023,0.01,0.01,0.01,0.01,0.118,0.004
Kepler-100 c,0.02218,0.0,0.0,0.013,0.013,0.196,0.004
Kepler-100 d,0.00944,0.0,0.0,0.0094,0.0,0.144,0.004
Kepler-100 e,0.076,0.01,0.01,0.01,0.01,0.67535,0.0
Kepler-101 b,0.16,0.01,0.02,0.0,0.0,0.51,0.07
Kepler-101 c,0.01,0.0,0.0,0.0,0.0,0.112,0.015
Kepler-102 b,0.01353,0.0135,0.0,0.0,0.0,0.042,0.002
Kepler-102 c,0.00944,0.00944,0.0,0.00899,0.0,0.052,0.002
Kepler-102 d,0.012,0.006,0.006,0.0,0.0,0.105,0.004
Kepler-102 e,0.028,0.006,0.006,0.0,0.0,0.198,0.006
Kepler-102 f,0.01636,0.01636,0.0,0.0,0.0,0.079,0.003
Kepler-103 b,0.031,0.027,0.027,0.0,0.0,0.301,0.008
Kepler-103 c,0.114,0.079,0.079,0.0,0.0,0.459,0.012
Kepler-104 Ab,0.031314,0.008848,0.008848,0.00884,0.00884,0.2123,0.0054
Kepler-104 Ac,0.0224785,0.012249,0.012249,0.0,0.0,0.2105,0.00687
Kepler-104 Ad,5.54,4.629,4.629,4.628,4.628,0.23508,0.01285
Kepler-105 b,0.016,0.0129,0.0198,0.0,0.0,0.429,0.136
Kepler-105 c,0.01447,0.00267,0.00289,0.0,0.0,0.117,0.006
Kepler-106 b,0.01668,0.0,0.0,0.0088,0.0088,0.073,0.01
Kepler-106 c,0.033,0.01,0.01,0.0,0.0,0.223,0.029
Kepler-106 d,0.02549,0.0,0.0,0.0,0.0,0.085,0.012
Kepler-106 e,0.035,0.018,0.018,0.018,0.018,0.228,0.029
Kepler-107 b,0.01104,0.00478,0.00478,0.0,0.0,0.137,0.002
Kepler-107 c,0.02954,0.00557,0.00557,0.0,0.0,0.142,0.002
Kepler-107 d,0.01196,0.0,0.0,0.0,0.0,0.077,0.005
Kepler-107 e,0.02706,0.01133,0.01133,0.0,0.0,0.259,0.003
Kepler-109 b,0.02297,0.02297,0.0,0.0,0.0,0.211,0.006
